Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,31,0,23000,24636.81377153543,49.07272895798087,138862.01594094746,0.0,0.1143448658118748,0.0,23000,32000,36000,38000,40000,60000,139000,139000,139000,139000,139000
NT PLAIN E2E,end_to_end_latency,6,0,100000,104909.89126998466,45006.715474883094,141943.041251041,3561.8333333333335,0.022131264350685444,0.0,114000,114000,132000,132000,142000,142000,142000,142000,142000,142000,142000
NT RAG E2E,end_to_end_latency,18,0,126000,136361.37383555374,60190.61068515293,254099.15260691196,3381.5,0.06639379305205634,0.0,140000,160000,170000,189000,211000,254000,254000,254000,254000,254000,254000
PLAIN E2E,end_to_end_latency,4,0,40000,115006.97086879518,26064.590689027682,240769.32439790107,2978.5,0.014754176233790297,0.0,153000,153000,241000,241000,241000,241000,241000,241000,241000,241000,241000
RAG E2E,end_to_end_latency,3,0,246000,192328.72178040756,58025.940702995285,273105.3234981373,4483.333333333333,0.011065632175342722,0.0,246000,246000,273000,273000,273000,273000,273000,273000,273000,273000,273000
NT PLAIN ITL avg,inter_token_latency_avg,6,0,118.56300860424253,116.27387646365686,114.66306529829991,118.56300860424253,3561.8333333333335,0.022131264350685444,0.0,120,120,120,120,120,120,120,120,120,120,120
NT RAG ITL avg,inter_token_latency_avg,18,0,113.26569516967169,115.29580047210685,113.26569516967169,117.60997079169681,3381.5,0.06639379305205634,0.0,120,120,120,120,120,120,120,120,120,120,120
PLAIN ITL avg,inter_token_latency_avg,4,0,112.92928769408415,115.8205956447609,112.92928769408415,120.9545011653849,2978.5,0.014754176233790297,0.0,110,110,120,120,120,120,120,120,120,120,120
RAG ITL avg,inter_token_latency_avg,3,0,111.59358955757303,113.92742949031019,111.59358955757303,115.25930582710298,4483.333333333333,0.011065632175342722,0.0,110,110,120,120,120,120,120,120,120,120,120
NT PLAIN ITL p95,inter_token_latency_p95,6,0,150,145.5202201672364,131.84151778696105,161.81412275182083,3561.8333333333335,0.022131264350685444,0.0,150,150,150,150,160,160,160,160,160,160,160
NT RAG ITL p95,inter_token_latency_p95,18,0,150,149.4271707662847,141.7548928875476,163.13704950734973,3381.5,0.06639379305205634,0.0,150,150,150,150,160,160,160,160,160,160,160
PLAIN ITL p95,inter_token_latency_p95,4,0,150,149.6855597040849,130.50384870730346,162.8732897224836,2978.5,0.014754176233790297,0.0,160,160,160,160,160,160,160,160,160,160,160
RAG ITL p95,inter_token_latency_p95,3,0,150,148.46731475554407,144.72597994608805,150.7024106453173,4483.333333333333,0.011065632175342722,0.0,150,150,150,150,150,150,150,150,150,150,150
NT PLAIN TPS,ms_per_output_token,6,0,29,29.263956730199965,27.57764428608033,31.237465064049516,3561.8333333333335,0.022131264350685444,0.0,29,29,30,30,31,31,31,31,31,31,31
NT RAG TPS,ms_per_output_token,18,0,39,44.433332782249266,31.405160376580394,88.14958767365337,3381.5,0.06639379305205634,0.0,39,41,43,49,76,88,88,88,88,88,88
PLAIN TPS,ms_per_output_token,4,0,39,39.871130675819614,36.47725010778335,43.497389667173316,2978.5,0.014754176233790297,0.0,40,40,43,43,43,43,43,43,43,43,43
RAG TPS,ms_per_output_token,3,0,47,75.44791918056626,34.87489765012607,144.3431360771027,4483.333333333333,0.011065632175342722,0.0,47,47,140,140,140,140,140,140,140,140,140
NT RAG overhead,retrieval_overhead_vs_nt_plain,15,0,32000,38638.83867027859,16506.376532139257,138391.47689309902,0.0,0.05532816087671361,0.0,32000,38000,39000,40000,60000,138000,138000,138000,138000,138000,138000
RAG overhead,retrieval_overhead_vs_plain,2,0,17000,17458.879327517934,16798.9499270916,18118.80872794427,0.0,0.0073770881168951485,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
NT PLAIN TTFT,time_to_first_token,6,0,650,633.2236639767265,390.62824798747897,751.1764660011977,0.0,0.022131264350685444,0.0,730,730,750,750,750,750,750,750,750,750,750
NT RAG TTFT,time_to_first_token,18,0,32000,37476.637502459605,17257.552998140454,139142.65335910022,0.0,0.06639379305205634,0.0,32000,38000,40000,41000,60000,139000,139000,139000,139000,139000,139000
PLAIN TTFT,time_to_first_token,4,0,11000,25332.272664294578,8998.77343699336,51542.67654195428,0.0,0.014754176233790297,0.0,30000,30000,52000,52000,52000,52000,52000,52000,52000,52000,52000
RAG TTFT,time_to_first_token,3,0,48000,54792.27428572873,47729.69978908077,68341.62646904588,0.0,0.011065632175342722,0.0,48000,48000,68000,68000,68000,68000,68000,68000,68000,68000,68000
,Aggregated,203,0,340,31787.44148065273,27.57764428608033,273105.3234981373,2120.2364532019706,0.7487744438648576,0.0,340,26000,38000,42000,114000,154000,211000,246000,273000,273000,273000
