Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,75,0,43000,40310.13709165932,88.33682304248214,129301.24791595154,0.0,0.258296777340419,0.0,43000,51000,59000,63000,78000,94000,124000,129000,129000,129000,129000
NT PLAIN E2E,end_to_end_latency,21,0,127000,147740.7590348074,32699.765325989574,270347.8730140487,3210.809523809524,0.07232309765531732,0.0,127000,147000,178000,178000,262000,267000,270000,270000,270000,270000,270000
NT RAG E2E,end_to_end_latency,54,0,204000,207431.38382524363,100836.61533601116,290345.0686199358,2716.1296296296296,0.18597367968510167,0.0,216000,238000,252000,257000,277000,288000,289000,290000,290000,290000,290000
NT PLAIN ITL avg,inter_token_latency_avg,21,0,159.15407793182365,155.51283160726945,152.76140432258754,159.15407793182365,3210.809523809524,0.07232309765531732,0.0,160,160,160,160,160,160,160,160,160,160,160
NT RAG ITL avg,inter_token_latency_avg,54,0,150.55954238891394,155.6534378237569,150.55954238891394,168.59115507295317,2716.1296296296296,0.18597367968510167,0.0,160,160,160,160,160,160,160,170,170,170,170
NT PLAIN ITL p95,inter_token_latency_p95,21,0,220,215.50517442242597,208.7380910408683,230.4871987667866,3210.809523809524,0.07232309765531732,0.0,220,220,220,220,220,220,230,230,230,230,230
NT RAG ITL p95,inter_token_latency_p95,54,0,220,218.3654650112321,191.4493594726082,264.64029599446803,2716.1296296296296,0.18597367968510167,0.0,220,220,220,220,230,260,260,260,260,260,260
NT PLAIN TPS,ms_per_output_token,21,0,43,53.05236599271781,35.38935641340863,178.56048506180457,3210.809523809524,0.07232309765531732,0.0,43,49,53,58,65,83,180,180,180,180,180
NT RAG TPS,ms_per_output_token,54,0,72,121.00983675316755,50.18077289725547,756.6305783464514,2716.1296296296296,0.18597367968510167,0.0,76,93,100,120,240,330,760,760,760,760,760
NT RAG overhead,retrieval_overhead_vs_nt_plain,54,0,74000,86299.21583214524,515.4757379787043,225508.68180696853,0.0,0.18597367968510167,0.0,75000,96000,114000,127000,170000,192000,193000,226000,226000,226000,226000
NT PLAIN TTFT,time_to_first_token,21,0,1000,22022.43152175409,839.2445889767259,95980.46942707151,0.0,0.07232309765531732,0.0,1000,33000,42000,42000,46000,69000,96000,96000,96000,96000,96000
NT RAG TTFT,time_to_first_token,54,0,83000,103694.72321116418,53816.667775972746,226524.18348600622,0.0,0.18597367968510167,0.0,85000,115000,141000,148000,176000,193000,194000,227000,227000,227000,227000
,Aggregated,504,0,960,55723.99156391733,35.38935641340863,290345.0686199358,1699.1904761904761,1.7357543437276157,0.0,960,63000,87000,114000,178000,230000,263000,277000,290000,290000,290000
