Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,23,0,28000,23240.323808854042,152.54876296967268,41361.04351305403,0.0,0.07882254223152409,0.0,28000,32000,33000,33000,37000,38000,41000,41000,41000,41000,41000
PLAIN E2E,end_to_end_latency,5,0,241000,240038.57404780574,167589.54620780423,293793.632355053,4851.4,0.017135335267722627,0.0,241000,266000,266000,294000,294000,294000,294000,294000,294000,294000,294000
RAG E2E,end_to_end_latency,18,0,178000,184390.5649566635,54605.0721029751,276444.49667911977,4060.5,0.06168720696380146,0.0,186000,204000,247000,251000,276000,276000,276000,276000,276000,276000,276000
PLAIN ITL avg,inter_token_latency_avg,5,0,112.57128780376316,115.22715262170725,112.57128780376316,118.6027774364566,4851.4,0.017135335267722627,0.0,110,120,120,120,120,120,120,120,120,120,120
RAG ITL avg,inter_token_latency_avg,18,0,110.65520441275261,113.30420844333412,110.65520441275261,115.68494858169328,4060.5,0.06168720696380146,0.0,110,110,110,110,120,120,120,120,120,120,120
PLAIN ITL p95,inter_token_latency_p95,5,0,160,160.91867464361712,156.8408026942052,163.27735936501995,4851.4,0.017135335267722627,0.0,160,160,160,160,160,160,160,160,160,160,160
RAG ITL p95,inter_token_latency_p95,18,0,160,158.49938156574757,154.34590559452772,163.44680008478463,4060.5,0.06168720696380146,0.0,160,160,160,160,160,160,160,160,160,160,160
PLAIN TPS,ms_per_output_token,5,0,45,50.99639814555813,36.73598119417015,65.96990216880164,4851.4,0.017135335267722627,0.0,45,63,63,66,66,66,66,66,66,66,66
RAG TPS,ms_per_output_token,18,0,45,55.249062413409405,35.79848185446397,145.6135256079336,4060.5,0.06168720696380146,0.0,49,50,61,71,93,150,150,150,150,150,150
RAG overhead,retrieval_overhead_vs_plain,11,0,3200,11307.066298873078,0,52321.01986487396,0.0,0.037697737588989776,0.0,3200,15000,17000,17000,21000,52000,52000,52000,52000,52000,52000
PLAIN TTFT,time_to_first_token,5,0,92000,92264.38984205015,44069.24661598168,137557.56993521936,0.0,0.017135335267722627,0.0,92000,100000,100000,138000,138000,138000,138000,138000,138000,138000,138000
RAG TTFT,time_to_first_token,18,0,56000,62790.47218576953,32002.062298124656,108708.6316300556,0.0,0.06168720696380146,0.0,58000,65000,75000,90000,103000,109000,109000,109000,109000,109000,109000
,Aggregated,149,0,160,45484.57264278509,0,293793.632355053,2613.3154362416108,0.5106329909781343,0.0,160,33000,52000,75000,168000,241000,276000,276000,294000,294000,294000
