Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,7,0,58,47875.5725338789,56.56944704242051,177181.8804498762,0.0,0.02760092564903524,0.0,58,63,158000,158000,177000,177000,177000,177000,177000,177000,177000
NT PLAIN E2E,end_to_end_latency,5,0,123000,107560.38405997679,14072.466169949621,158460.05665208213,3073.6,0.019714946892168028,0.0,123000,125000,125000,158000,158000,158000,158000,158000,158000,158000,158000
NT RAG E2E,end_to_end_latency,2,0,239000,247634.9422255298,238653.6258221604,256616.25862889923,2341.0,0.007885978756867211,0.0,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000
NT PLAIN ITL avg,inter_token_latency_avg,5,0,150.03909499534078,152.18116806248923,150.03909499534078,158.97952777552692,3073.6,0.019714946892168028,0.0,150,150,150,160,160,160,160,160,160,160,160
NT RAG ITL avg,inter_token_latency_avg,2,0,147.71206672296367,147.32391422994502,146.93576173692637,147.71206672296367,2341.0,0.007885978756867211,0.0,150,150,150,150,150,150,150,150,150,150,150
NT PLAIN ITL p95,inter_token_latency_p95,5,0,180,200.95908704679456,174.01394571643323,303.3869876526295,3073.6,0.019714946892168028,0.0,180,180,180,300,300,300,300,300,300,300,300
NT RAG ITL p95,inter_token_latency_p95,2,0,158.61735807266086,158.58285689610057,158.54835571954027,158.61735807266086,2341.0,0.007885978756867211,0.0,160,160,160,160,160,160,160,160,160,160,160
NT PLAIN TPS,ms_per_output_token,5,0,35,35.28742286627737,33.48053074955388,37.31105642855713,3073.6,0.019714946892168028,0.0,35,37,37,37,37,37,37,37,37,37,37
NT RAG TPS,ms_per_output_token,2,0,88.00283217726312,111.57039282197255,88.00283217726312,135.13795346668198,2341.0,0.007885978756867211,0.0,140,140,140,140,140,140,140,140,140,140,140
NT RAG overhead,retrieval_overhead_vs_nt_plain,2,0,158000,167548.6134099774,157905.29753291048,177191.92928704433,0.0,0.007885978756867211,0.0,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000,177000
NT PLAIN TTFT,time_to_first_token,5,0,480,507.55591513589025,391.08679187484086,796.0877059958875,0.0,0.019714946892168028,0.0,480,480,480,800,800,800,800,800,800,800,800
NT RAG TTFT,time_to_first_token,2,0,158385.05227584392,168028.36815291084,158385.05227584392,177671.68402997777,0.0,0.007885978756867211,0.0,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000,178000
,Aggregated,44,0,170,46469.7647251665,33.48053074955388,256616.25862889923,1822.7272727272727,0.17349153265107864,0.0,180,480,123000,158000,177000,178000,257000,257000,257000,257000,257000
