Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,100,0,77000,71674.48664951255,41.528889909386635,173205.01526794396,0.0,0.3578905318186283,0.0,80000,104000,115000,121000,138000,152000,163000,173000,173000,173000,173000
NT PLAIN E2E,end_to_end_latency,13,0,85000,93311.00789151297,30765.76859492343,216041.0347620491,843.6153846153846,0.04652576913642168,0.0,85000,89000,92000,128000,163000,216000,216000,216000,216000,216000,216000
NT RAG E2E,end_to_end_latency,40,0,162000,167621.15446407406,115158.37332606316,261081.68424793985,424.175,0.14315621272745133,0.0,165000,176000,183000,190000,217000,246000,261000,261000,261000,261000,261000
PLAIN E2E,end_to_end_latency,13,0,87000,116415.97960717403,70270.15953499358,256377.89066706318,1346.2307692307693,0.04652576913642168,0.0,87000,105000,121000,134000,239000,256000,256000,256000,256000,256000,256000
RAG E2E,end_to_end_latency,34,0,215000,219804.83890546364,132751.64028501604,287425.193849951,1504.9117647058824,0.12168278081833363,0.0,228000,237000,263000,266000,269000,276000,287000,287000,287000,287000,287000
NT PLAIN ITL avg,inter_token_latency_avg,13,0,240,229.46837731472786,189.27906618531173,262.72575295792814,843.6153846153846,0.04652576913642168,0.0,240,250,250,250,260,260,260,260,260,260,260
NT RAG ITL avg,inter_token_latency_avg,40,0,210,216.99123325580294,161.85211955962586,253.32474665937283,424.175,0.14315621272745133,0.0,220,240,240,250,250,250,250,250,250,250,250
PLAIN ITL avg,inter_token_latency_avg,13,0,250,227.84703040017516,191.41621358264317,251.47695032115107,1346.2307692307693,0.04652576913642168,0.0,250,250,250,250,250,250,250,250,250,250,250
RAG ITL avg,inter_token_latency_avg,34,0,200,209.45133516415865,193.44115068153792,251.04948432833356,1504.9117647058824,0.12168278081833363,0.0,210,210,210,220,240,250,250,250,250,250,250
NT PLAIN ITL p95,inter_token_latency_p95,13,0,490,460.64361397741146,331.41548946732655,604.1641593095846,843.6153846153846,0.04652576913642168,0.0,490,520,540,540,590,600,600,600,600,600,600
NT RAG ITL p95,inter_token_latency_p95,40,0,430,420.4105768799491,248.59361042035744,640.0415524840355,424.175,0.14315621272745133,0.0,430,450,500,500,530,550,640,640,640,640,640
PLAIN ITL p95,inter_token_latency_p95,13,0,510,480.6967474959004,340.21909378934646,581.3379000173882,1346.2307692307693,0.04652576913642168,0.0,510,540,540,540,580,580,580,580,580,580,580
RAG ITL p95,inter_token_latency_p95,34,0,400,409.6001985417816,344.7238720254971,529.9099480791483,1504.9117647058824,0.12168278081833363,0.0,400,410,430,440,470,520,530,530,530,530,530
NT PLAIN TPS,ms_per_output_token,13,0,120,147.85846466548657,60.222205368813405,294.67580074205904,843.6153846153846,0.04652576913642168,0.0,120,160,200,220,260,290,290,290,290,290,290
NT RAG TPS,ms_per_output_token,40,0,410,680.7313316240866,167.45209593085593,3168.386255166427,424.175,0.14315621272745133,0.0,450,650,740,1000,1500,2400,3200,3200,3200,3200,3200
PLAIN TPS,ms_per_output_token,13,0,110,107.44435766732406,56.733323891804204,161.5041706963168,1346.2307692307693,0.04652576913642168,0.0,110,120,130,140,140,160,160,160,160,160,160
RAG TPS,ms_per_output_token,34,0,150,173.45083374072385,86.82353661969837,334.99690191555686,1504.9117647058824,0.12168278081833363,0.0,150,200,230,240,250,330,330,330,330,330,330
NT RAG overhead,retrieval_overhead_vs_nt_plain,40,0,78000,82078.1747641915,35372.345334035344,161676.27696704585,0.0,0.14315621272745133,0.0,80000,88000,102000,116000,143000,157000,162000,162000,162000,162000,162000
RAG overhead,retrieval_overhead_vs_plain,34,0,92000,95100.46747750056,27352.751000085846,160234.60733005777,0.0,0.12168278081833363,0.0,93000,101000,117000,127000,145000,151000,160000,160000,160000,160000,160000
NT PLAIN TTFT,time_to_first_token,13,0,41000,45353.046076676736,1189.323908998631,71913.52086199913,0.0,0.04652576913642168,0.0,41000,63000,67000,68000,71000,72000,72000,72000,72000,72000,72000
NT RAG TTFT,time_to_first_token,40,0,142000,144158.4619579051,98620.35830004606,210646.94280398544,0.0,0.14315621272745133,0.0,147000,155000,170000,172000,183000,203000,211000,211000,211000,211000,211000
PLAIN TTFT,time_to_first_token,13,0,49000,47333.69074576499,3008.9199730427936,69947.73470296059,0.0,0.04652576913642168,0.0,49000,51000,55000,60000,62000,70000,70000,70000,70000,70000,70000
RAG TTFT,time_to_first_token,34,0,137000,142929.26835615243,97300.48570304643,222014.24835808575,0.0,0.12168278081833363,0.0,140000,148000,155000,174000,186000,211000,222000,222000,222000,222000,222000
,Aggregated,674,0,35000,63087.071420706336,41.528889909386635,287425.193849951,573.3056379821959,2.4121821844575546,0.0,36000,90000,121000,134000,166000,203000,244000,266000,287000,287000,287000
