Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,68,0,29000,26897.660196513993,37.366793025285006,83628.02121997811,0.0,0.23630847970589552,0.0,29000,36000,39000,41000,48000,54000,60000,84000,84000,84000,84000
NT PLAIN E2E,end_to_end_latency,8,0,27000,51506.693120027194,14835.098167066462,146307.4559159577,1546.0,0.027800997612458297,0.0,32000,51000,99000,99000,146000,146000,146000,146000,146000,146000,146000
NT RAG E2E,end_to_end_latency,35,0,45000,46089.69881444105,24233.333776937798,81029.44650896825,391.25714285714287,0.12162936455450504,0.0,45000,49000,55000,60000,64000,77000,81000,81000,81000,81000,81000
PLAIN E2E,end_to_end_latency,8,0,106000,86013.82069774263,10471.633308101445,154043.13242889475,1809.25,0.027800997612458297,0.0,106000,111000,129000,129000,154000,154000,154000,154000,154000,154000,154000
RAG E2E,end_to_end_latency,17,0,105000,105431.96482517455,51223.68481103331,195995.63400598709,349.3529411764706,0.05907711992647388,0.0,105000,129000,132000,136000,143000,196000,196000,196000,196000,196000,196000
NT PLAIN ITL avg,inter_token_latency_avg,8,0,130,128.2195475437804,105.08516780355687,138.45820133593872,1546.0,0.027800997612458297,0.0,130,130,130,130,140,140,140,140,140,140,140
NT RAG ITL avg,inter_token_latency_avg,35,0,120,125.8781113262199,104.38113413485033,165.73847933406276,391.25714285714287,0.12162936455450504,0.0,120,130,130,140,140,150,170,170,170,170,170
PLAIN ITL avg,inter_token_latency_avg,8,0,129.25908876481827,123.79906587750264,104.62943702992617,129.25908876481827,1809.25,0.027800997612458297,0.0,130,130,130,130,130,130,130,130,130,130,130
RAG ITL avg,inter_token_latency_avg,17,0,130,129.20630683471953,115.82343196496367,147.62843923424097,349.3529411764706,0.05907711992647388,0.0,130,130,130,130,140,150,150,150,150,150,150
NT PLAIN ITL p95,inter_token_latency_p95,8,0,250,240.59756600618118,179.88483642693606,265.67050036974257,1546.0,0.027800997612458297,0.0,250,250,250,250,270,270,270,270,270,270,270
NT RAG ITL p95,inter_token_latency_p95,35,0,200,206.90591846010648,105.86709718336351,377.7133903873616,391.25714285714287,0.12162936455450504,0.0,200,220,240,250,260,300,380,380,380,380,380
PLAIN ITL p95,inter_token_latency_p95,8,0,220,212.36251338268625,108.08398819062859,266.63613867131016,1809.25,0.027800997612458297,0.0,230,230,230,230,270,270,270,270,270,270,270
RAG ITL p95,inter_token_latency_p95,17,0,220,218.7858363637454,179.84182400978173,249.20485766488127,349.3529411764706,0.05907711992647388,0.0,220,230,230,240,250,250,250,250,250,250,250
NT PLAIN TPS,ms_per_output_token,8,0,34,32.28739704561987,25.84511875795551,35.45236503380658,1546.0,0.027800997612458297,0.0,34,34,35,35,35,35,35,35,35,35,35
NT RAG TPS,ms_per_output_token,35,0,120,175.98411576544999,50.77100645810484,684.7516086555877,391.25714285714287,0.12162936455450504,0.0,120,170,260,280,360,420,680,680,680,680,680
PLAIN TPS,ms_per_output_token,8,0,54,54.12310239164654,33.415007382389746,75.33549142519026,1809.25,0.027800997612458297,0.0,59,60,67,67,75,75,75,75,75,75,75
RAG TPS,ms_per_output_token,17,0,320,433.1598409659597,108.99240346229139,1213.4395980462004,349.3529411764706,0.05907711992647388,0.0,320,500,520,760,860,1200,1200,1200,1200,1200,1200
NT RAG overhead,retrieval_overhead_vs_nt_plain,35,0,33000,34124.370104776295,17239.63275703136,59800.902747083455,0.0,0.12162936455450504,0.0,33000,39000,41000,42000,50000,55000,60000,60000,60000,60000,60000
RAG overhead,retrieval_overhead_vs_plain,16,0,67000,75986.67866287724,13397.079591057263,151397.15815486852,0.0,0.055601995224916594,0.0,77000,80000,107000,107000,122000,151000,151000,151000,151000,151000,151000
NT PLAIN TTFT,time_to_first_token,8,0,420,493.8933823723346,314.8199990391731,832.6205679913983,0.0,0.027800997612458297,0.0,450,580,630,630,830,830,830,830,830,830,830
NT RAG TTFT,time_to_first_token,35,0,34000,34666.69234836341,17866.985645028763,60223.14095997717,0.0,0.12162936455450504,0.0,34000,40000,42000,43000,50000,55000,60000,60000,60000,60000,60000
PLAIN TTFT,time_to_first_token,8,0,20000,28550.004802644253,6914.594670059159,71501.98782992084,0.0,0.027800997612458297,0.0,20000,26000,60000,60000,72000,72000,72000,72000,72000,72000,72000
RAG TTFT,time_to_first_token,17,0,86000,93217.08573016118,38652.21858303994,171186.5922799334,0.0,0.05907711992647388,0.0,86000,112000,125000,126000,129000,171000,171000,171000,171000,171000,171000
,Aggregated,459,0,9900,25735.558026493258,25.84511875795551,195995.63400598709,405.0108932461874,1.5950822380147947,0.0,9900,31000,41000,46000,70000,106000,129000,146000,196000,196000,196000
