Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,152,0,81000,72703.68380381231,26.56639798078686,188088.50806299597,0.0,0.5434351088409428,0.0,82000,101000,108000,115000,130000,148000,161000,171000,188000,188000,188000
NT PLAIN E2E,end_to_end_latency,46,0,66000,88708.66671526733,36687.657693983056,257156.34339000098,940.1739130434783,0.16446062504396952,0.0,67000,91000,103000,107000,179000,196000,257000,257000,257000,257000,257000
NT RAG E2E,end_to_end_latency,106,0,150000,151634.49811195093,95274.30762106087,242543.12728403602,377.20754716981133,0.3789744837969733,0.0,150000,160000,169000,173000,198000,209000,223000,224000,243000,243000,243000
NT PLAIN ITL avg,inter_token_latency_avg,46,0,230,224.82401646969015,151.49760235189683,306.1134951523222,940.1739130434783,0.16446062504396952,0.0,230,250,260,270,270,290,310,310,310,310,310
NT RAG ITL avg,inter_token_latency_avg,106,0,250,259.23710807544484,190.73586668043086,394.50223310684254,377.20754716981133,0.3789744837969733,0.0,250,280,290,300,320,340,380,390,390,390,390
NT PLAIN ITL p95,inter_token_latency_p95,46,0,480,451.51211664627266,187.76938903611153,630.4127419134602,940.1739130434783,0.16446062504396952,0.0,490,520,540,540,560,580,630,630,630,630,630
NT RAG ITL p95,inter_token_latency_p95,106,0,500,483.1179762043867,280.89755726978177,707.9171346034857,377.20754716981133,0.3789744837969733,0.0,500,540,560,570,620,620,680,710,710,710,710
NT PLAIN TPS,ms_per_output_token,46,0,99,116.56883232807732,59.98515124562654,290.83596713248613,940.1739130434783,0.16446062504396952,0.0,99,120,130,130,200,240,290,290,290,290,290
NT RAG TPS,ms_per_output_token,106,0,470,702.4102734408687,111.48322570025039,2619.175732288406,377.20754716981133,0.3789744837969733,0.0,480,750,1000,1100,1500,1800,2000,2100,2600,2600,2600
NT RAG overhead,retrieval_overhead_vs_nt_plain,106,0,81000,88245.72611578082,11292.453926987946,195678.6774059292,0.0,0.3789744837969733,0.0,83000,95000,111000,116000,135000,146000,174000,181000,196000,196000,196000
NT PLAIN TTFT,time_to_first_token,46,0,33000,35725.25926627492,16751.665584975854,73887.46135903057,0.0,0.16446062504396952,0.0,33000,35000,38000,39000,54000,72000,74000,74000,74000,74000,74000
NT RAG TTFT,time_to_first_token,106,0,124000,127842.0425711555,76578.99214699864,217466.61870798562,0.0,0.3789744837969733,0.0,126000,137000,148000,151000,163000,172000,195000,202000,217000,217000,217000
,Aggregated,1018,0,22000,54953.92885102289,26.56639798078686,257156.34339000098,327.04125736738706,3.63958513684263,0.0,24000,85000,107000,120000,149000,165000,188000,202000,243000,257000,257000
