Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,125,0,37000,35721.9851530157,22.077730973251164,129313.51902103052,0.0,0.43280237076717826,0.0,37000,45000,48000,52000,63000,77000,85000,101000,129000,129000,129000
NT PLAIN E2E,end_to_end_latency,29,0,24000,34750.045684479366,7112.020484986715,137842.99115091562,924.8620689655172,0.10041015001798537,0.0,24000,33000,39000,47000,106000,108000,138000,138000,138000,138000,138000
NT RAG E2E,end_to_end_latency,96,0,57000,61226.20344181996,28527.724661980756,141049.01033407077,365.96875,0.3323922207491929,0.0,58000,63000,71000,75000,89000,101000,116000,141000,141000,141000,141000
NT PLAIN ITL avg,inter_token_latency_avg,29,0,150,150.45231582053924,126.90907291409265,182.1756013034081,924.8620689655172,0.10041015001798537,0.0,150,150,160,160,170,170,180,180,180,180,180
NT RAG ITL avg,inter_token_latency_avg,96,0,150,151.16808103162097,112.63047263060731,188.35396155783977,365.96875,0.3323922207491929,0.0,150,160,160,160,170,180,190,190,190,190,190
NT PLAIN ITL p95,inter_token_latency_p95,29,0,310,308.23234206884456,196.97181567316875,457.3888099985197,924.8620689655172,0.10041015001798537,0.0,310,320,330,340,400,420,460,460,460,460,460
NT RAG ITL p95,inter_token_latency_p95,96,0,290,301.32090481796087,118.1334468186833,666.0967719973995,365.96875,0.3323922207491929,0.0,290,320,340,350,420,480,660,670,670,670,670
NT PLAIN TPS,ms_per_output_token,29,0,37,36.437834360884565,24.089596008883984,45.15122282337249,924.8620689655172,0.10041015001798537,0.0,37,38,39,40,44,44,45,45,45,45,45
NT RAG TPS,ms_per_output_token,96,0,210,320.4214302552287,59.87428872302043,4515.900178839309,365.96875,0.3323922207491929,0.0,210,290,370,420,580,760,1400,4500,4500,4500,4500
NT RAG overhead,retrieval_overhead_vs_nt_plain,96,0,43000,46335.01202358335,20706.251743016765,129678.54539107066,0.0,0.3323922207491929,0.0,43000,48000,53000,55000,67000,81000,101000,130000,130000,130000,130000
NT PLAIN TTFT,time_to_first_token,29,0,540,652.2540117509599,316.63166102953255,1412.3350349254906,0.0,0.10041015001798537,0.0,540,800,810,890,1100,1100,1400,1400,1400,1400,1400
NT RAG TTFT,time_to_first_token,96,0,44000,47126.62903993623,21505.90921600815,130072.76667898986,0.0,0.3323922207491929,0.0,44000,49000,54000,56000,67000,81000,102000,130000,130000,130000,130000
,Aggregated,846,0,870,24149.53411353613,22.077730973251164,141049.01033407077,292.92671394799055,2.9292064453522624,0.0,880,37000,46000,49000,62000,77000,95000,106000,141000,141000,141000
