Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,180,0,15000,18028.768289133328,12.396300000546034,42006.52019699919,0.0,1.5244314472833045,0.0,15000,28000,32000,33000,35000,36000,38000,40000,42000,42000,42000
PLAIN E2E,end_to_end_latency,41,0,53000,56888.69252860972,28439.51564499912,99729.35843699997,4667.512195121952,0.3472316074367527,0.0,53000,66000,68000,69000,77000,82000,100000,100000,100000,100000,100000
RAG E2E,end_to_end_latency,139,0,47000,46907.96861782019,26465.878281998812,87488.35685499944,447.23021582733816,1.1771998398465517,0.0,47000,52000,56000,58000,63000,69000,77000,78000,87000,87000,87000
PLAIN ITL avg,inter_token_latency_avg,41,0,23,22.933631138719647,20.453251952698633,28.84304298304877,4667.512195121952,0.3472316074367527,0.0,23,23,23,24,24,27,29,29,29,29,29
RAG ITL avg,inter_token_latency_avg,139,0,22,21.831431618465505,8.032488857159999,32.4536202222387,447.23021582733816,1.1771998398465517,0.0,22,23,23,24,25,26,29,32,32,32,32
PLAIN ITL p95,inter_token_latency_p95,41,0,52,51.138594885340844,45.58157369992847,57.24943880059073,4667.512195121952,0.3472316074367527,0.0,52,52,53,53,54,55,57,57,57,57,57
RAG ITL p95,inter_token_latency_p95,139,0,49,45.43177447838964,15.54900139890378,70.1457102508357,447.23021582733816,1.1771998398465517,0.0,49,53,56,57,60,61,63,65,70,70,70
PLAIN TPS,ms_per_output_token,41,0,12,20.607324192992884,6.818675493183691,97.73029431271175,4667.512195121952,0.3472316074367527,0.0,12,15,16,16,36,84,98,98,98,98,98
RAG TPS,ms_per_output_token,139,0,120,138.614567846333,37.914572608593055,589.719122809001,447.23021582733816,1.1771998398465517,0.0,120,150,170,190,240,340,400,420,590,590,590
RAG overhead,retrieval_overhead_vs_plain,139,0,17000,16817.022492431828,0,53565.80562899944,0.0,1.1771998398465517,0.0,17000,21000,24000,25000,30000,36000,47000,47000,54000,54000,54000
PLAIN TTFT,time_to_first_token,41,0,28000,28585.26152253646,7285.687562998646,50341.642946999855,0.0,0.3472316074367527,0.0,28000,31000,34000,36000,39000,41000,50000,50000,50000,50000,50000
RAG TTFT,time_to_first_token,139,0,44000,44080.447036942474,24695.370496998294,81704.18458099994,0.0,1.1771998398465517,0.0,44000,49000,53000,55000,59000,64000,74000,75000,82000,82000,82000
,Aggregated,1219,0,8400,17856.493176979544,0,99729.35843699997,831.9376538146022,10.32378852354638,0.0,8400,28000,34000,37000,50000,58000,68000,75000,87000,100000,100000
