Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,159,0,11000,14988.162358371072,13.129439999829629,47367.159284999616,0.0,1.3370520657849398,0.0,11000,25000,27000,28000,32000,34000,35000,37000,47000,47000,47000
PLAIN E2E,end_to_end_latency,35,0,46000,45524.19105625709,3151.1391410003853,77198.14387699898,5789.542857142857,0.294319637122471,0.0,46000,54000,57000,62000,70000,74000,77000,77000,77000,77000,77000
RAG E2E,end_to_end_latency,124,0,56000,52474.710714153254,13086.636568000358,75710.11172099953,440.11290322580646,1.0427324286624688,0.0,56000,60000,62000,64000,67000,69000,72000,74000,76000,76000,76000
PLAIN ITL avg,inter_token_latency_avg,35,0,17,16.62985157041611,14.25293120885876,17.53677599665236,5789.542857142857,0.294319637122471,0.0,17,17,17,17,17,18,18,18,18,18,18
RAG ITL avg,inter_token_latency_avg,124,0,17,16.46232125122851,3.9459649866694235,20.430586070513247,440.11290322580646,1.0427324286624688,0.0,17,17,17,17,18,18,19,20,20,20,20
PLAIN ITL p95,inter_token_latency_p95,35,0,28,28.91178727142817,18.866108199472365,41.3261701001829,5789.542857142857,0.294319637122471,0.0,28,30,31,33,34,37,41,41,41,41,41
RAG ITL p95,inter_token_latency_p95,124,0,27,27.714113327442277,14.913762000105635,51.07010120000268,440.11290322580646,1.0427324286624688,0.0,27,31,34,37,42,43,49,50,51,51,51
PLAIN TPS,ms_per_output_token,35,0,8,9.770711904444596,4.796254400305,38.25607965151569,5789.542857142857,0.294319637122471,0.0,8,10,11,11,13,27,38,38,38,38,38
RAG TPS,ms_per_output_token,124,0,140,153.121594740064,23.36899387142921,481.7902975000036,440.11290322580646,1.0427324286624688,0.0,140,180,200,220,270,320,480,480,480,480,480
RAG overhead,retrieval_overhead_vs_plain,124,0,26000,27147.86280673405,6727.509014000134,51203.84474200001,0.0,1.0427324286624688,0.0,26000,31000,34000,36000,40000,42000,45000,49000,51000,51000,51000
PLAIN TTFT,time_to_first_token,35,0,23000,20373.14335734279,889.4100200004686,44864.01444100011,0.0,0.294319637122471,0.0,23000,27000,28000,28000,35000,40000,45000,45000,45000,45000,45000
RAG TTFT,time_to_first_token,124,0,55000,50496.93765258874,10543.07517899997,72126.79806100004,0.0,1.0427324286624688,0.0,55000,58000,60000,62000,65000,67000,71000,72000,72000,72000,72000
,Aggregated,1078,0,6100,19342.063815287227,3.9459649866694235,77198.14387699898,954.3896103896104,9.065044823372107,0.0,6300,26000,35000,44000,58000,63000,67000,70000,76000,77000,77000
