Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,35,0,3200,3071.4994940285974,10.046525000689144,9506.656491000285,0.0,0.5952152042276638,0.0,3200,3700,4100,4200,4600,6400,9500,9500,9500,9500,9500
PLAIN E2E,end_to_end_latency,6,0,18000,19460.42332633336,3326.646548000099,29437.92439400022,6163.166666666667,0.1020368921533138,0.0,21000,21000,29000,29000,29000,29000,29000,29000,29000,29000,29000
RAG E2E,end_to_end_latency,29,0,10000,11802.824592344881,7563.060948999919,20832.3134379998,498.48275862068965,0.49317831207435,0.0,10000,13000,14000,14000,18000,18000,21000,21000,21000,21000,21000
PLAIN ITL avg,inter_token_latency_avg,6,0,10,9.990279839036718,9.753263308139713,10.146773821762741,6163.166666666667,0.1020368921533138,0.0,10,10,10,10,10,10,10,10,10,10,10
RAG ITL avg,inter_token_latency_avg,29,0,10,10.05869089419133,8.643147147373192,12.466808857133012,498.48275862068965,0.49317831207435,0.0,10,10,10,10,11,11,12,12,12,12,12
PLAIN ITL p95,inter_token_latency_p95,6,0,11.893961099758595,11.475374799867192,10.614056599843025,11.893961099758595,6163.166666666667,0.1020368921533138,0.0,12,12,12,12,12,12,12,12,12,12,12
RAG ITL p95,inter_token_latency_p95,29,0,11,10.809604531031537,9.065558200018131,13.123514949938908,498.48275862068965,0.49317831207435,0.0,11,11,11,11,12,12,13,13,13,13,13
PLAIN TPS,ms_per_output_token,6,0,3,3.2792572729396965,2.6976245959857748,3.860323707892438,6163.166666666667,0.1020368921533138,0.0,3,3,4,4,4,4,4,4,4,4,4
RAG TPS,ms_per_output_token,29,0,25,29.375489657123516,10.659535978351645,69.1649652890618,498.48275862068965,0.49317831207435,0.0,25,32,35,42,55,57,69,69,69,69,69
RAG overhead,retrieval_overhead_vs_plain,20,0,6800,8440.062918150308,3494.3951089999246,16222.741930000666,0.0,0.34012297384437934,0.0,7600,10000,12000,13000,14000,16000,16000,16000,16000,16000,16000
PLAIN TTFT,time_to_first_token,6,0,2200,3248.716945166507,1104.6167929998774,5970.582009999816,0.0,0.1020368921533138,0.0,3000,3000,5800,5800,6000,6000,6000,6000,6000,6000,6000
RAG TTFT,time_to_first_token,29,0,9500,10374.173586206874,6774.6620119996805,17678.547022000203,0.0,0.49317831207435,0.0,9500,11000,12000,13000,15000,16000,18000,18000,18000,18000,18000
,Aggregated,230,0,2200,4596.943776955943,2.6976245959857748,29437.92439400022,894.5217391304348,3.911414199210362,0.0,2300,6300,8900,9700,13000,16000,18000,21000,29000,29000,29000
