Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,497,0,4500,4382.475813513093,9.36737199936033,90017.67162900069,0.0,1.689751959410178,0.0,4500,5300,5700,6100,7000,7700,9200,9800,90000,90000,90000
NT PLAIN E2E,end_to_end_latency,56,0,16000,17612.199879642827,243.02941899986763,54464.728537000155,4444.232142857143,0.1903945869757947,0.0,16000,20000,25000,25000,31000,37000,44000,54000,54000,54000,54000
NT RAG E2E,end_to_end_latency,192,0,6800,7522.131865640643,3522.571039000468,91861.96853000001,424.5520833333333,0.6527814410598676,0.0,6900,7500,7900,8300,9700,11000,13000,37000,92000,92000,92000
PLAIN E2E,end_to_end_latency,63,0,30000,29166.511962952456,2389.8219490001793,59471.634272999836,5391.857142857143,0.21419391034776905,0.0,30000,35000,39000,40000,44000,46000,55000,59000,59000,59000,59000
RAG E2E,end_to_end_latency,186,0,17000,17904.80087025806,7649.180041000363,91703.5377939992,474.4247311827957,0.6323820210267467,0.0,17000,19000,21000,21000,24000,28000,35000,36000,92000,92000,92000
NT PLAIN ITL avg,inter_token_latency_avg,56,0,16,15.611494103066851,14.486699625406708,16.394197120989887,4444.232142857143,0.1903945869757947,0.0,16,16,16,16,16,16,16,16,16,16,16
NT RAG ITL avg,inter_token_latency_avg,192,0,16,15.500670238346986,2.1853007894701717,21.1189411147494,424.5520833333333,0.6527814410598676,0.0,16,16,16,16,17,17,18,18,21,21,21
PLAIN ITL avg,inter_token_latency_avg,63,0,16,15.710644303238576,15.10427613847995,17.682792959188802,5391.857142857143,0.21419391034776905,0.0,16,16,16,16,16,16,17,18,18,18,18
RAG ITL avg,inter_token_latency_avg,186,0,16,15.622309744227328,11.813597673266269,19.771327144733156,474.4247311827957,0.6323820210267467,0.0,16,16,16,16,17,17,18,20,20,20,20
NT PLAIN ITL p95,inter_token_latency_p95,56,0,34,33.68397619821621,15.928899500522675,53.23997369969221,4444.232142857143,0.1903945869757947,0.0,35,37,40,40,42,48,49,53,53,53,53
NT RAG ITL p95,inter_token_latency_p95,192,0,26,28.987611602864167,3.874690199927499,60.45101155045813,424.5520833333333,0.6527814410598676,0.0,26,31,36,39,49,52,55,57,60,60,60
PLAIN ITL p95,inter_token_latency_p95,63,0,31,32.491460138942145,16.68789610021122,52.7228049997575,5391.857142857143,0.21419391034776905,0.0,31,37,38,39,42,45,47,53,53,53,53
RAG ITL p95,inter_token_latency_p95,186,0,26,29.981480669907405,13.69128200076375,55.60920179977984,474.4247311827957,0.6323820210267467,0.0,27,34,39,42,49,52,54,55,56,56,56
NT PLAIN TPS,ms_per_output_token,56,0,4,3.944866735809497,3.200647706444666,6.395511026312306,4444.232142857143,0.1903945869757947,0.0,4,4,4,4,4,5,5,6,6,6,6
NT RAG TPS,ms_per_output_token,192,0,20,24.428383706625315,5.710314880245386,194.62281468220343,424.5520833333333,0.6527814410598676,0.0,20,24,29,32,39,53,87,140,190,190,190
PLAIN TPS,ms_per_output_token,63,0,6,6.005372837007717,4.051818140499457,13.562961977375512,5391.857142857143,0.21419391034776905,0.0,6,6,7,7,8,10,12,14,14,14,14
RAG TPS,ms_per_output_token,186,0,41,45.730103621093754,10.786682734413093,143.638742091503,474.4247311827957,0.6323820210267467,0.0,41,50,57,62,74,91,110,130,140,140,140
NT RAG overhead,retrieval_overhead_vs_nt_plain,187,0,5000,5732.012339443902,2293.9973279990227,90044.12606200002,0.0,0.6357819243656002,0.0,5000,5600,6100,6300,7100,7800,9700,36000,90000,90000,90000
RAG overhead,retrieval_overhead_vs_plain,169,0,10000,10063.682463029436,0,85500.63937699998,0.0,0.5745836642662376,0.0,10000,12000,13000,15000,18000,20000,28000,30000,86000,86000,86000
NT PLAIN TTFT,time_to_first_token,56,0,64,83.6250592499742,44.612143999984255,391.5818979994583,0.0,0.1903945869757947,0.0,70,75,83,84,110,280,280,390,390,390,390
NT RAG TTFT,time_to_first_token,192,0,5000,5776.926000802072,2378.345499999341,90094.61153699976,0.0,0.6527814410598676,0.0,5100,5600,6200,6400,7200,7900,9700,36000,90000,90000,90000
PLAIN TTFT,time_to_first_token,63,0,5100,6953.7319549207405,893.2444559995929,18089.212474000306,0.0,0.21419391034776905,0.0,5100,8700,10000,11000,15000,17000,18000,18000,18000,18000,18000
RAG TTFT,time_to_first_token,186,0,15000,15821.350277392447,7131.836790000307,88809.17156499982,0.0,0.6323820210267467,0.0,15000,16000,18000,19000,22000,27000,32000,33000,89000,89000,89000
,Aggregated,3338,0,110,5116.950432680171,0,91861.96853000001,908.7130017974836,11.348877345092905,0.0,110,5200,6700,8300,15000,20000,29000,36000,90000,92000,92000
