Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,191,0,3000,2913.615270057648,9.65014300072653,39070.025054000325,0.0,0.650668259214774,0.0,3000,3500,3800,3900,4600,5400,7500,17000,39000,39000,39000
PLAIN E2E,end_to_end_latency,47,0,19000,20104.721518787283,5049.019181999938,38616.24803500035,5929.340425531915,0.16011208472824282,0.0,19000,22000,26000,28000,31000,36000,39000,39000,39000,39000,39000
RAG E2E,end_to_end_latency,144,0,9700,10815.178270263947,5519.514512000569,48309.01196299965,439.8125,0.49055617448653116,0.0,9800,11000,12000,13000,15000,16000,22000,25000,48000,48000,48000
PLAIN ITL avg,inter_token_latency_avg,47,0,10,9.537927557645796,8.683420193482359,10.889553641974976,5929.340425531915,0.16011208472824282,0.0,10,10,10,10,10,10,11,11,11,11,11
RAG ITL avg,inter_token_latency_avg,144,0,10,9.556870959022321,7.26119504316302,11.210457711539535,439.8125,0.49055617448653116,0.0,10,10,10,10,10,11,11,11,11,11,11
PLAIN ITL p95,inter_token_latency_p95,47,0,11,11.173076219211966,9.740946499732672,13.92313749965979,5929.340425531915,0.16011208472824282,0.0,11,11,12,12,12,12,14,14,14,14,14
RAG ITL p95,inter_token_latency_p95,144,0,10,10.512718498939774,8.230034750067716,18.462937999174756,439.8125,0.49055617448653116,0.0,10,10,11,12,12,12,16,17,18,18,18
PLAIN TPS,ms_per_output_token,47,0,3,3.9182316411492666,2.4878974881635276,13.607425440774616,5929.340425531915,0.16011208472824282,0.0,3,4,4,4,5,10,14,14,14,14,14
RAG TPS,ms_per_output_token,144,0,24,30.45320213772731,9.733439971699097,127.46441151187243,439.8125,0.49055617448653116,0.0,24,32,38,41,49,67,98,110,130,130,130
RAG overhead,retrieval_overhead_vs_plain,144,0,4300,5054.392267277796,0,41639.84880899989,0.0,0.49055617448653116,0.0,4400,5500,6400,7200,9600,11000,18000,21000,42000,42000,42000
PLAIN TTFT,time_to_first_token,47,0,4500,5120.436647042592,499.66472000051,28146.740103999946,0.0,0.16011208472824282,0.0,4500,5400,6200,6400,8200,9400,28000,28000,28000,28000,28000
RAG TTFT,time_to_first_token,144,0,8700,9620.733693395889,4676.005762000386,46815.3478589993,0.0,0.49055617448653116,0.0,8700,9900,11000,11000,13000,15000,21000,24000,47000,47000,47000
,Aggregated,1290,0,1400,4202.4183067321355,0,48309.01196299965,1060.5023255813953,4.3945657297751755,0.0,1400,4800,7200,8600,11000,15000,21000,28000,47000,48000,48000
