Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,56,0,34000,31187.539905535745,14.548031000231276,78724.82186699926,0.0,0.19306216511488147,0.0,35000,47000,52000,54000,68000,75000,75000,79000,79000,79000,79000
NT PLAIN E2E,end_to_end_latency,5,0,12000,12702.204960399831,8514.854327000648,17715.164969999023,3175.8,0.017237693313828704,0.0,12000,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000
NT RAG E2E,end_to_end_latency,21,0,52000,53224.006124000196,9074.930111000867,81660.90770200026,724.047619047619,0.07239831191808055,0.0,52000,54000,67000,71000,72000,78000,82000,82000,82000,82000,82000
PLAIN E2E,end_to_end_latency,12,0,43000,48798.35641224977,33458.43649000017,78021.28813799936,3051.9166666666665,0.04137046395318889,0.0,45000,46000,62000,62000,75000,78000,78000,78000,78000,78000,78000
RAG E2E,end_to_end_latency,18,0,122000,121734.38961627794,31651.687215000493,183518.17306200066,651.2777777777778,0.062055695929783335,0.0,124000,144000,146000,160000,174000,184000,184000,184000,184000,184000,184000
NT PLAIN ITL avg,inter_token_latency_avg,5,0,17,16.778581576458464,15.931423320651355,17.54352813303222,3175.8,0.017237693313828704,0.0,17,17,17,18,18,18,18,18,18,18,18
NT RAG ITL avg,inter_token_latency_avg,21,0,17,16.85011793195019,16.332680895105185,17.808949373985097,724.047619047619,0.07239831191808055,0.0,17,17,17,17,17,18,18,18,18,18,18
PLAIN ITL avg,inter_token_latency_avg,12,0,17,17.163976417026166,16.505292777077514,18.539376950848535,3051.9166666666665,0.04137046395318889,0.0,17,17,17,17,17,19,19,19,19,19,19
RAG ITL avg,inter_token_latency_avg,18,0,17,17.123360507623705,16.51087465178794,18.37862630645759,651.2777777777778,0.062055695929783335,0.0,17,17,17,17,18,18,18,18,18,18,18
NT PLAIN ITL p95,inter_token_latency_p95,5,0,19,18.946372739683284,17.098483799782116,20.073172199408873,3175.8,0.017237693313828704,0.0,19,19,19,20,20,20,20,20,20,20,20
NT RAG ITL p95,inter_token_latency_p95,21,0,17,17.886384449953074,16.920011399997748,19.991043499885564,724.047619047619,0.07239831191808055,0.0,17,17,19,20,20,20,20,20,20,20,20
PLAIN ITL p95,inter_token_latency_p95,12,0,20,19.562882825365097,18.712455199784017,20.95370700044441,3051.9166666666665,0.04137046395318889,0.0,20,20,20,20,20,21,21,21,21,21,21
RAG ITL p95,inter_token_latency_p95,18,0,18,18.493292080615397,16.997991400694445,21.012291500483116,651.2777777777778,0.062055695929783335,0.0,18,20,20,20,21,21,21,21,21,21,21
NT PLAIN TPS,ms_per_output_token,5,0,4,4.009331309584571,3.7131163976705097,4.328860511542499,3175.8,0.017237693313828704,0.0,4,4,4,4,4,4,4,4,4,4,4
NT RAG TPS,ms_per_output_token,21,0,88,86.47882844728508,10.300715222475445,249.60962954930156,724.047619047619,0.07239831191808055,0.0,88,93,110,110,120,140,250,250,250,250,250
PLAIN TPS,ms_per_output_token,12,0,14,25.731311710378986,8.498330584850013,129.68386236434173,3051.9166666666665,0.04137046395318889,0.0,15,19,25,25,33,130,130,130,130,130,130
RAG TPS,ms_per_output_token,18,0,170,218.32707243905634,56.472396888888014,759.9182896562506,651.2777777777778,0.062055695929783335,0.0,170,230,260,280,330,760,760,760,760,760,760
NT RAG overhead,retrieval_overhead_vs_nt_plain,21,0,49000,50074.77447252348,4355.736935000095,78717.34349299913,0.0,0.07239831191808055,0.0,49000,52000,62000,67000,70000,75000,79000,79000,79000,79000,79000
RAG overhead,retrieval_overhead_vs_plain,18,0,55000,72286.80694750052,0,148666.33012900094,0.0,0.062055695929783335,0.0,63000,80000,109000,126000,139000,149000,149000,149000,149000,149000,149000
NT PLAIN TTFT,time_to_first_token,5,0,70,75.06349159993988,59.40321900015988,107.20676600067236,0.0,0.017237693313828704,0.0,70,79,79,110,110,110,110,110,110,110,110
NT RAG TTFT,time_to_first_token,21,0,49000,50173.90917395261,4462.943701000768,78824.5502589998,0.0,0.07239831191808055,0.0,49000,52000,62000,67000,70000,75000,79000,79000,79000,79000,79000
PLAIN TTFT,time_to_first_token,12,0,32000,36345.498042749874,18840.764276999835,64640.91859899963,0.0,0.04137046395318889,0.0,32000,33000,48000,48000,61000,65000,65000,65000,65000,65000,65000
RAG TTFT,time_to_first_token,18,0,119000,119105.63885538903,30540.221592000307,180771.13572000054,0.0,0.062055695929783335,0.0,121000,141000,145000,158000,171000,181000,181000,181000,181000,181000,181000
,Aggregated,375,0,280,31198.370751019953,0,183518.17306200066,847.2533333333333,1.2928269985371528,0.0,280,43000,51000,57000,80000,127000,158000,172000,184000,184000,184000
