Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,83,0,29000,26425.628368494068,10.324221000701073,87719.30425499976,0.0,0.2820991313256505,0.0,29000,34000,40000,43000,50000,69000,82000,88000,88000,88000,88000
NT PLAIN E2E,end_to_end_latency,23,0,8500,8171.533084608754,824.6412799999234,19778.776510999705,2619.608695652174,0.07817204843963808,0.0,8500,9300,9600,9900,15000,19000,20000,20000,20000,20000,20000
NT RAG E2E,end_to_end_latency,60,0,36000,38865.16665321657,5959.127557000102,88999.06252599976,693.0166666666667,0.2039270828860124,0.0,37000,44000,46000,47000,63000,78000,83000,89000,89000,89000,89000
NT PLAIN ITL avg,inter_token_latency_avg,23,0,12,13.008341962674411,11.467991698913055,22.23822956623715,2619.608695652174,0.07817204843963808,0.0,12,13,13,13,15,15,22,22,22,22,22
NT RAG ITL avg,inter_token_latency_avg,60,0,13,13.095159100452019,10.616485807683299,16.065572373984807,693.0166666666667,0.2039270828860124,0.0,13,14,14,14,14,15,15,16,16,16,16
NT PLAIN ITL p95,inter_token_latency_p95,23,0,14,13.988857415211976,11.648764600613504,22.703133400227685,2619.608695652174,0.07817204843963808,0.0,14,14,14,14,16,16,23,23,23,23,23
NT RAG ITL p95,inter_token_latency_p95,60,0,14,13.99960175499397,11.097391150087788,16.68107239975143,693.0166666666667,0.2039270828860124,0.0,14,14,15,16,16,16,16,17,17,17,17
NT PLAIN TPS,ms_per_output_token,23,0,3,3.09681033428057,2.5018366637554625,5.097622812113326,2619.608695652174,0.07817204843963808,0.0,3,3,3,3,4,5,5,5,5,5,5
NT RAG TPS,ms_per_output_token,60,0,52,63.99205060527709,12.598578344609095,214.19553268156585,693.0166666666667,0.2039270828860124,0.0,52,65,77,86,130,180,210,210,210,210,210
NT RAG overhead,retrieval_overhead_vs_nt_plain,52,0,31000,35211.707950557604,4504.323258999648,87788.32732899992,0.0,0.1767368051678774,0.0,31000,38000,43000,46000,62000,77000,82000,88000,88000,88000,88000
NT PLAIN TTFT,time_to_first_token,23,0,57,434.0150055217948,46.31181900003867,8693.60227299967,0.0,0.07817204843963808,0.0,57,59,60,61,70,100,8700,8700,8700,8700,8700
NT RAG TTFT,time_to_first_token,60,0,34000,36641.03065579994,4554.470401999424,87834.63914799996,0.0,0.2039270828860124,0.0,34000,40000,43000,46000,62000,77000,82000,88000,88000,88000,88000
,Aggregated,550,0,67,15925.077788252765,2.5018366637554625,88999.06252599976,740.5963636363637,1.8693315931217804,0.0,69,23000,31000,34000,44000,58000,77000,82000,89000,89000,89000
