Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,52,0,36000,40433.992106692276,12.689675999354222,160238.8872240008,0.0,0.17908921484514823,0.0,37000,54000,67000,68000,95000,108000,128000,160000,160000,160000,160000
PLAIN E2E,end_to_end_latency,15,0,52000,47820.09490706695,12359.013377001247,86991.77966199932,2191.4666666666667,0.05166035043610045,0.0,52000,54000,56000,58000,69000,87000,87000,87000,87000,87000,87000
RAG E2E,end_to_end_latency,37,0,127000,140561.17843337823,50988.490271000046,233472.80590899935,650.5405405405405,0.12742886440904777,0.0,127000,163000,172000,178000,190000,206000,233000,233000,233000,233000,233000
PLAIN ITL avg,inter_token_latency_avg,15,0,19,25.256549541978295,17.76393145311772,117.76137132113857,2191.4666666666667,0.05166035043610045,0.0,19,19,19,19,20,120,120,120,120,120,120
RAG ITL avg,inter_token_latency_avg,37,0,19,17.655391389132518,1.0724187777668703,21.421901235953555,650.5405405405405,0.12742886440904777,0.0,19,19,20,20,20,21,21,21,21,21,21
PLAIN ITL p95,inter_token_latency_p95,15,0,21,20.399153960097465,10.14039324991245,23.03962310006682,2191.4666666666667,0.05166035043610045,0.0,21,23,23,23,23,23,23,23,23,23,23
RAG ITL p95,inter_token_latency_p95,37,0,20,19.45867456604508,1.399406999553321,24.789827100266848,650.5405405405405,0.12742886440904777,0.0,20,23,23,23,24,24,25,25,25,25,25
PLAIN TPS,ms_per_output_token,15,0,20,50.31048919634931,10.223299649793823,240.928254090911,2191.4666666666667,0.05166035043610045,0.0,20,44,48,110,110,240,240,240,240,240,240
RAG TPS,ms_per_output_token,37,0,230,239.60520131245008,65.20267298081848,514.8349312741103,650.5405405405405,0.12742886440904777,0.0,230,270,310,310,370,470,510,510,510,510,510
RAG overhead,retrieval_overhead_vs_plain,37,0,92000,89862.63994075701,670.7646880004177,190114.84836599993,0.0,0.12742886440904777,0.0,92000,130000,141000,146000,152000,169000,190000,190000,190000,190000,190000
PLAIN TTFT,time_to_first_token,15,0,36000,36436.70001413314,11093.661627999609,79467.87184399909,0.0,0.05166035043610045,0.0,36000,40000,42000,52000,55000,79000,79000,79000,79000,79000,79000
RAG TTFT,time_to_first_token,37,0,123000,138018.19645916214,46400.221714999134,231924.74656299964,0.0,0.12742886440904777,0.0,123000,160000,168000,176000,186000,204000,232000,232000,232000,232000,232000
,Aggregated,349,0,5800,48740.55062457706,1.0724187777668703,233472.80590899935,652.6303724928367,1.201964153479937,0.0,5800,56000,96000,117000,152000,172000,190000,204000,233000,233000,233000
