Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,55,0,82000,66825.21952587306,101.47462703753263,149363.65535994992,0.0,0.1977243763195605,0.0,82000,100000,107000,120000,139000,146000,147000,149000,149000,149000,149000
PLAIN E2E,end_to_end_latency,18,0,128000,136003.61949088983,17735.724356025457,274594.1012179246,1706.4444444444443,0.06470979588640162,0.0,141000,159000,188000,213000,259000,275000,275000,275000,275000,275000,275000
RAG E2E,end_to_end_latency,37,0,237000,235064.0817504263,182102.4123079842,285171.78298393264,1647.3783783783783,0.13301458043315886,0.0,237000,252000,256000,259000,277000,284000,285000,285000,285000,285000,285000
PLAIN ITL avg,inter_token_latency_avg,18,0,230,224.59315104712942,199.87538696339647,237.57005368774432,1706.4444444444443,0.06470979588640162,0.0,230,230,230,230,230,240,240,240,240,240,240
RAG ITL avg,inter_token_latency_avg,37,0,190,193.21169988572763,174.50055983595152,225.11052558156035,1647.3783783783783,0.13301458043315886,0.0,190,200,200,210,210,220,230,230,230,230,230
PLAIN ITL p95,inter_token_latency_p95,18,0,470,462.0096697442932,409.9745457351673,524.8649831861256,1706.4444444444443,0.06470979588640162,0.0,470,470,480,480,510,520,520,520,520,520,520
RAG ITL p95,inter_token_latency_p95,37,0,380,366.81473236955776,259.91422740626166,496.2372939859051,1647.3783783783783,0.13301458043315886,0.0,380,420,420,430,460,470,500,500,500,500,500
PLAIN TPS,ms_per_output_token,18,0,77,92.9700542959429,46.67295883164594,187.98466779954327,1706.4444444444443,0.06470979588640162,0.0,87,100,120,120,150,190,190,190,190,190,190
RAG TPS,ms_per_output_token,37,0,160,166.0860225146747,81.87044818174391,366.3190372880644,1647.3783783783783,0.13301458043315886,0.0,160,180,190,230,250,310,370,370,370,370,370
RAG overhead,retrieval_overhead_vs_plain,37,0,114000,117919.65530535231,73797.21404600423,174058.02735011093,0.0,0.13301458043315886,0.0,114000,124000,140000,147000,169000,174000,174000,174000,174000,174000,174000
PLAIN TTFT,time_to_first_token,18,0,44000,49307.29672032693,994.8965690564364,94550.01230107155,0.0,0.06470979588640162,0.0,47000,48000,73000,84000,94000,95000,95000,95000,95000,95000,95000
RAG TTFT,time_to_first_token,37,0,155000,160784.57567632524,116995.20060699433,218355.34656909294,0.0,0.13301458043315886,0.0,155000,167000,185000,190000,205000,215000,218000,218000,218000,218000,218000
,Aggregated,367,0,990,71011.74280487966,46.67295883164594,285171.78298393264,999.117166212534,1.3193608383505218,0.0,990,104000,136000,148000,205000,238000,264000,277000,285000,285000,285000
