Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,72,0,45000,40511.69305439463,34.55847594887018,103018.51507404353,0.0,0.2483676828019392,0.0,45000,57000,62000,63000,77000,82000,95000,103000,103000,103000,103000
PLAIN E2E,end_to_end_latency,19,0,91000,92841.12427536839,14238.459669053555,180763.20435199887,1433.3157894736842,0.06554147185051173,0.0,91000,129000,161000,163000,178000,181000,181000,181000,181000,181000,181000
RAG E2E,end_to_end_latency,53,0,130000,143767.7254398696,54264.353041071445,261840.37334099412,267.35849056603774,0.18282621095142745,0.0,130000,157000,165000,197000,240000,254000,262000,262000,262000,262000,262000
PLAIN ITL avg,inter_token_latency_avg,19,0,190,193.06686198880033,155.76196690866104,230.39546080947142,1433.3157894736842,0.06554147185051173,0.0,190,200,220,220,230,230,230,230,230,230,230
RAG ITL avg,inter_token_latency_avg,53,0,170,172.07513815829057,146.48998436052352,214.86683999949204,267.35849056603774,0.18282621095142745,0.0,170,180,180,180,200,200,210,210,210,210,210
PLAIN ITL p95,inter_token_latency_p95,19,0,380,370.28289004474084,262.92152318637807,513.5492034780327,1433.3157894736842,0.06554147185051173,0.0,380,410,410,430,500,510,510,510,510,510,510
RAG ITL p95,inter_token_latency_p95,53,0,300,295.6698805464977,190.47397198155528,443.857802974526,267.35849056603774,0.18282621095142745,0.0,300,310,340,350,370,420,430,440,440,440,440
PLAIN TPS,ms_per_output_token,19,0,100,108.48801390815183,48.241418078930096,378.00420789018466,1433.3157894736842,0.06554147185051173,0.0,100,130,130,140,180,380,380,380,380,380,380
RAG TPS,ms_per_output_token,53,0,550,853.4713723362889,219.1045753903933,4115.4175077366535,267.35849056603774,0.18282621095142745,0.0,550,730,1000,1200,1800,2500,3200,4100,4100,4100,4100
RAG overhead,retrieval_overhead_vs_plain,53,0,81000,83296.67736386291,0,229267.1780959936,0.0,0.18282621095142745,0.0,81000,108000,115000,117000,130000,221000,226000,229000,229000,229000,229000
PLAIN TTFT,time_to_first_token,19,0,24000,29007.768076691336,8912.439735024236,98347.55368996412,0.0,0.06554147185051173,0.0,24000,29000,30000,30000,57000,98000,98000,98000,98000,98000,98000
RAG TTFT,time_to_first_token,53,0,119000,131536.09236366476,47245.52471807692,256445.7706969697,0.0,0.18282621095142745,0.0,119000,144000,153000,177000,210000,246000,248000,256000,256000,256000,256000
,Aggregated,485,0,14000,50145.539143826085,0,261840.37334099412,341.4680412371134,1.6730323077630627,0.0,14000,62000,92000,107000,147000,181000,240000,251000,262000,262000,262000
